-85	0.243392	123.16	1.10416	41.3187
-84	0.243078	123.968	1.13243	40.9616
-83	0.242132	124.323	1.15174	40.58
-82	0.242249	124.259	1.16454	40.5974
-81	0.243307	125.134	1.14812	40.7861
-80	0.242489	123.981	1.14946	40.7824
-79	0.24205	124.343	1.17203	40.5442
-78	0.242552	124.729	1.16582	40.5746
-77	0.242657	124.254	1.1521	40.7369
-76	0.244006	124.981	1.12387	41.074
-75	0.243684	126.041	1.15509	40.9059
-74	0.242473	124.556	1.16881	40.5131
-73	0.242821	124.742	1.16405	40.5456
-72	0.242577	124.057	1.15308	40.7079
-71	0.242936	123.429	1.12759	41.0078
-70	0.243343	125.65	1.16795	40.4901
-69	0.242488	124.526	1.17006	40.4834
-68	0.24295	124.735	1.159	40.6081
-67	0.242728	123.968	1.1466	40.7809
-66	0.242958	123.353	1.12382	41.0741
-65	0.242446	123.836	1.15535	40.6639
-64	0.242127	124.134	1.17327	40.4593
-63	0.242431	124.669	1.17512	40.43
-62	0.242349	124.286	1.16869	40.5106
-61	0.243463	125.12	1.15419	40.6395
-60	0.242258	123.953	1.16083	40.6177
-59	0.242104	124.213	1.17652	40.4133
-58	0.242553	124.743	1.17183	40.4702
-57	0.242558	124.32	1.15961	40.6283
-56	0.2436	125.128	1.14676	40.7494
-55	0.243183	125.664	1.17281	40.4449
-54	0.242241	124.533	1.17413	40.4784
-53	0.242594	124.631	1.1663	40.5465
-52	0.242281	124.007	1.16111	40.6226
-51	0.242408	123.47	1.14543	40.806
-50	0.243207	125.471	1.1755	40.3722
-49	0.242197	124.497	1.17353	40.4974
-48	0.242664	124.601	1.16358	40.5839
-47	0.242446	123.865	1.15531	40.6856
-46	0.242442	123.33	1.14271	40.8493
-45	0.242208	123.595	1.15739	40.6566
-44	0.242102	124.031	1.17242	40.4721
-43	0.242283	124.634	1.17738	40.4299
-42	0.242012	124.28	1.17521	40.4846
-41	0.243121	125.09	1.16514	40.5249
-40	0.241904	123.778	1.17458	40.4536
-39	0.241924	124.094	1.17641	40.4615
-38	0.242469	124.627	1.17132	40.5022
-37	0.242237	124.221	1.16969	40.5259
-36	0.243289	125.125	1.15587	40.6741
-35	0.24315	125.383	1.17094	40.4641
-34	0.241974	124.444	1.18252	40.3952
-33	0.242266	124.566	1.17666	40.4442
-32	0.241768	123.918	1.17495	40.4983
-31	0.241686	123.433	1.16623	40.603
-30	0.242794	125.384	1.17756	40.4238
-29	0.241898	124.371	1.18241	40.4122
-28	0.242294	124.455	1.17223	40.503
-27	0.241786	123.814	1.16809	40.6362
-26	0.241851	123.28	1.15985	40.6709
-25	0.241798	123.543	1.16837	40.5614
-24	0.241984	123.922	1.17266	40.4985
-23	0.242329	124.432	1.17319	40.4774
-22	0.242142	124.109	1.1707	40.5181
-21	0.243049	125.045	1.161	40.6181
-20	0.24204	123.544	1.16044	40.6469
-19	0.242046	123.862	1.16823	40.5487
-18	0.242355	124.418	1.17257	40.4813
-17	0.242121	124.143	1.17225	40.5064
-16	0.243032	124.97	1.16113	40.6101
-15	0.243088	125.314	1.16877	40.5089
-14	0.242228	124.195	1.17425	40.4495
-13	0.242527	124.392	1.16767	40.5183
-12	0.242152	123.778	1.16453	40.5751
-11	0.242119	123.316	1.15456	40.6991
-10	0.242395	124.822	1.16453	40.3979
-9	0.242167	124.141	1.17478	40.4468
-8	0.24232	124.432	1.17375	40.4775
-7	0.241877	123.854	1.17773	40.4292
-6	0.24187	123.38	1.16636	40.5645
-5	0.242762	125.292	1.17921	40.4015
-4	0.242018	124.189	1.18248	40.3584
-3	0.242236	124.436	1.18106	40.3763
-2	0.241858	123.783	1.17538	40.4672
-1	0.241825	123.106	1.16566	40.5455
0	0	0	0	0
1	0.241437	122.867	1.17173	40.5079
